"Date(UTC)","Value"
"9/4/2022 10:52:00 AM","90"
"9/4/2022 10:53:00 AM","75"
"9/4/2022 10:54:00 AM","80"
"9/4/2022 10:55:00 AM","93"
"9/4/2022 10:56:00 AM","81"
"9/4/2022 10:57:00 AM","64"
"9/4/2022 10:58:00 AM","125"
"9/4/2022 10:59:00 AM","101"
"9/4/2022 11:00:00 AM","119"
"9/4/2022 11:01:00 AM","101"
"9/4/2022 11:02:00 AM","101"
"9/4/2022 11:03:00 AM","105"
"9/4/2022 11:04:00 AM","97"
"9/4/2022 11:05:00 AM","96"
"9/4/2022 11:06:00 AM","202"
"9/4/2022 11:07:00 AM","93"
"9/4/2022 11:08:00 AM","72"
"9/4/2022 11:09:00 AM","89"
"9/4/2022 11:10:00 AM","92"
"9/4/2022 11:11:00 AM","99"
"9/4/2022 11:12:00 AM","122"
"9/4/2022 11:13:00 AM","90"
"9/4/2022 11:14:00 AM","66"
"9/4/2022 11:15:00 AM","94"
"9/4/2022 11:16:00 AM","71"
"9/4/2022 11:17:00 AM","104"
"9/4/2022 11:18:00 AM","95"
"9/4/2022 11:19:00 AM","90"
"9/4/2022 11:20:00 AM","103"
"9/4/2022 11:21:00 AM","162"
"9/4/2022 11:22:00 AM","93"
"9/4/2022 11:23:00 AM","105"
"9/4/2022 11:24:00 AM","100"
"9/4/2022 11:25:00 AM","84"
"9/4/2022 11:26:00 AM","105"
"9/4/2022 11:27:00 AM","86"
"9/4/2022 11:28:00 AM","80"
"9/4/2022 11:29:00 AM","111"
"9/4/2022 11:30:00 AM","89"
"9/4/2022 11:31:00 AM","114"
"9/4/2022 11:32:00 AM","95"
"9/4/2022 11:33:00 AM","69"
"9/4/2022 11:34:00 AM","114"
"9/4/2022 11:35:00 AM","97"
"9/4/2022 11:36:00 AM","116"
"9/4/2022 11:37:00 AM","148"
"9/4/2022 11:38:00 AM","99"
"9/4/2022 11:39:00 AM","134"
"9/4/2022 11:40:00 AM","107"
"9/4/2022 11:41:00 AM","118"
"9/4/2022 11:43:00 AM","90"
"9/4/2022 11:44:00 AM","77"
"9/4/2022 11:45:00 AM","185"
"9/4/2022 11:46:00 AM","110"
"9/4/2022 11:47:00 AM","139"
"9/4/2022 11:48:00 AM","122"
"9/4/2022 11:49:00 AM","124"
"9/4/2022 11:50:00 AM","116"
"9/4/2022 11:51:00 AM","251"
"9/4/2022 11:52:00 AM","99"
"9/4/2022 11:53:00 AM","68"
"9/4/2022 11:54:00 AM","78"
"9/4/2022 11:55:00 AM","123"
"9/4/2022 11:56:00 AM","105"
"9/4/2022 11:57:00 AM","99"
"9/4/2022 11:58:00 AM","140"
"9/4/2022 11:59:00 AM","141"
"9/4/2022 12:00:00 PM","338"
"9/4/2022 12:01:00 PM","187"
"9/4/2022 12:02:00 PM","158"
"9/4/2022 12:03:00 PM","176"
"9/4/2022 12:04:00 PM","111"
"9/4/2022 12:05:00 PM","110"
"9/4/2022 12:06:00 PM","121"
"9/4/2022 12:07:00 PM","166"
"9/4/2022 12:08:00 PM","117"
"9/4/2022 12:09:00 PM","135"
"9/4/2022 12:10:00 PM","138"
"9/4/2022 12:11:00 PM","145"
"9/4/2022 12:12:00 PM","119"
"9/4/2022 12:13:00 PM","96"
"9/4/2022 12:14:00 PM","152"
"9/4/2022 12:15:00 PM","134"
"9/4/2022 12:16:00 PM","107"
"9/4/2022 12:17:00 PM","125"
"9/4/2022 12:18:00 PM","105"
"9/4/2022 12:19:00 PM","104"
"9/4/2022 12:20:00 PM","103"
"9/4/2022 12:21:00 PM","118"
"9/4/2022 12:22:00 PM","91"
"9/4/2022 12:23:00 PM","105"
"9/4/2022 12:24:00 PM","107"
"9/4/2022 12:25:00 PM","96"
"9/4/2022 12:26:00 PM","130"
"9/4/2022 12:27:00 PM","149"
"9/4/2022 12:28:00 PM","121"
"9/4/2022 12:29:00 PM","145"
"9/4/2022 12:30:00 PM","228"
"9/4/2022 12:31:00 PM","252"
"9/4/2022 12:32:00 PM","157"
"9/4/2022 12:33:00 PM","276"
"9/4/2022 12:34:00 PM","152"
"9/4/2022 12:35:00 PM","236"
"9/4/2022 12:36:00 PM","148"
"9/4/2022 12:37:00 PM","297"
"9/4/2022 12:38:00 PM","134"
"9/4/2022 12:39:00 PM","110"
"9/4/2022 12:40:00 PM","209"
"9/4/2022 12:41:00 PM","142"
"9/4/2022 12:42:00 PM","144"
"9/4/2022 12:43:00 PM","110"
"9/4/2022 12:44:00 PM","121"
"9/4/2022 12:45:00 PM","127"
"9/4/2022 12:46:00 PM","119"
"9/4/2022 12:47:00 PM","249"
"9/4/2022 12:48:00 PM","103"
"9/4/2022 12:49:00 PM","127"
"9/4/2022 12:50:00 PM","113"
"9/4/2022 12:51:00 PM","123"
"9/4/2022 12:52:00 PM","124"
"9/4/2022 12:53:00 PM","98"
"9/4/2022 12:54:00 PM","104"
"9/4/2022 12:55:00 PM","108"
"9/4/2022 12:56:00 PM","100"
"9/4/2022 12:57:00 PM","205"
"9/4/2022 12:58:00 PM","90"
"9/4/2022 12:59:00 PM","143"
"9/4/2022 1:00:00 PM","151"
"9/4/2022 1:01:00 PM","147"
"9/4/2022 1:02:00 PM","125"
"9/4/2022 1:03:00 PM","120"
"9/4/2022 1:04:00 PM","111"
"9/4/2022 1:05:00 PM","128"
"9/4/2022 1:06:00 PM","108"
"9/4/2022 1:07:00 PM","77"
"9/4/2022 1:08:00 PM","136"
"9/4/2022 1:09:00 PM","111"
"9/4/2022 1:10:00 PM","100"
"9/4/2022 1:11:00 PM","128"
"9/4/2022 1:12:00 PM","84"
"9/4/2022 1:13:00 PM","143"
"9/4/2022 1:14:00 PM","99"
"9/4/2022 1:15:00 PM","125"
"9/4/2022 1:16:00 PM","120"
"9/4/2022 1:17:00 PM","124"
"9/4/2022 1:18:00 PM","134"
"9/4/2022 1:20:00 PM","135"
"9/4/2022 1:21:00 PM","83"
"9/4/2022 1:22:00 PM","165"
"9/4/2022 1:23:00 PM","128"
"9/4/2022 1:24:00 PM","164"
"9/4/2022 1:25:00 PM","153"
"9/4/2022 1:26:00 PM","75"
"9/4/2022 1:27:00 PM","75"
"9/4/2022 1:30:00 PM","152"
"9/4/2022 1:31:00 PM","176"
"9/4/2022 1:32:00 PM","118"
"9/4/2022 1:33:00 PM","152"
"9/4/2022 1:34:00 PM","179"
"9/4/2022 1:35:00 PM","142"
"9/4/2022 1:36:00 PM","179"
"9/4/2022 1:37:00 PM","96"
"9/4/2022 1:38:00 PM","90"
"9/4/2022 1:39:00 PM","205"
"9/4/2022 1:40:00 PM","117"
"9/4/2022 1:41:00 PM","228"
"9/4/2022 1:42:00 PM","109"
"9/4/2022 1:43:00 PM","142"
"9/4/2022 1:44:00 PM","332"
"9/4/2022 1:45:00 PM","157"
"9/4/2022 1:46:00 PM","110"
"9/4/2022 1:47:00 PM","105"
"9/4/2022 1:48:00 PM","141"
"9/4/2022 1:49:00 PM","415"
"9/4/2022 1:50:00 PM","225"
"9/4/2022 1:51:00 PM","89"
"9/4/2022 1:52:00 PM","92"
"9/4/2022 1:53:00 PM","73"
"9/4/2022 1:54:00 PM","203"
"9/4/2022 1:55:00 PM","102"
"9/4/2022 1:56:00 PM","118"
"9/4/2022 1:57:00 PM","107"
"9/4/2022 1:58:00 PM","107"
"9/4/2022 1:59:00 PM","316"
"9/4/2022 2:00:00 PM","137"
"9/4/2022 2:01:00 PM","261"
"9/4/2022 2:02:00 PM","155"
"9/4/2022 2:03:00 PM","182"
"9/4/2022 2:04:00 PM","203"
"9/4/2022 2:05:00 PM","112"
"9/4/2022 2:06:00 PM","96"
"9/4/2022 2:07:00 PM","116"
"9/4/2022 2:09:00 PM","121"
"9/4/2022 2:10:00 PM","175"
"9/4/2022 2:11:00 PM","98"
"9/4/2022 2:12:00 PM","99"
"9/4/2022 2:13:00 PM","130"
"9/4/2022 2:14:00 PM","121"
"9/4/2022 2:15:00 PM","193"
"9/4/2022 2:16:00 PM","167"
"9/4/2022 2:17:00 PM","126"
"9/4/2022 2:18:00 PM","106"
"9/4/2022 2:19:00 PM","117"
"9/4/2022 2:20:00 PM","221"
"9/4/2022 2:21:00 PM","136"
"9/4/2022 2:22:00 PM","103"
"9/4/2022 2:23:00 PM","130"
"9/4/2022 2:24:00 PM","215"
"9/4/2022 2:25:00 PM","131"
"9/4/2022 2:26:00 PM","137"
"9/4/2022 2:27:00 PM","135"
"9/4/2022 2:28:00 PM","139"
"9/4/2022 2:29:00 PM","104"
"9/4/2022 2:30:00 PM","232"
"9/4/2022 2:31:00 PM","189"
"9/4/2022 2:32:00 PM","114"
